Devoa,Devoa
Lindly,Lindly
Antares,Antares
Alexei,Alexei
Roland,Roland
Lothair,Lothair
Trihan,Trihan
Terenor,Terenor
Casamir,Casamir
Geoffrey,Geoffrey
Gwynneth,Gwynneth
Kalytos,Kalytos
Arm 1,Arm 1
Arm 2,Arm 2
Arm 3,Arm 3
Arm 4,Arm 4
Johan,Johan
Mafu,Mafu
Nibbler,Knabber
Cloudrender Athelis,Wolkenstreiter Athelis
"""A new age is upon us - and dragons will rule it from the skies!""",„Drachen werden vom Himmel aus über ein neues Zeitalter herrschen!“
Lady Clarimonde,Lady Clarimonde
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""",„Gute Anführer lernen zu dienen und siegen so über Tyrannen.“
Kaffi the Curious,Kaffi die Neugierige
"""Oh, another bad guy? How would you like me to kill them all this time?""","„Oh, noch ein Bösewicht? Wie soll ich diesen hier um die Ecke bringen?“"
The Outcast,Der Ausgestoßene
"""If you will not have me, then you will die...""",„Lasst mich für Euch kämpfen oder Ihr werdet sterben …“
Lt. Archibald,Leutnant Archibald
"""Those who cling to the past will be swallowed up by the future.""","„Wer an der Vergangenheit festhält, wird von der Zukunft überwältigt.“"
Slayer Alphonse,Alphonse der Schlächter
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""","„Ich fürchte diese Bestien nicht. Sie mögen listig sein, verstehen aber nicht, wie man Krieg führt.“"
Renalyn Steelheart,Renalyn Stahlherz
"""I have nothing left but my blade. May it carve a new path for me.""",„Mir bleibt nur noch meine Klinge. Möge sie mir neue Wege erschließen.“
Konrad the Cold,Konrad der Kalte
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""","„Mein Name klingt schon knackig, was?! Aber er passt ja auch zu mir, oder etwa nicht?“"
Warlord Tatar,Kriegsfürst Tatar
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""","„Die Wüste Sayunaas konnte mich nicht umbringen, also könnt Ihr Narren das erst recht nicht!“"
Sir Rolante,Sir Rolante
"""The lost noble souls of the past live within me.""",„Die edelmütigen Seelen vergangener Zeiten leben in mir weiter.“
Teriq the Wicked,Teriq der Grausame
"""Usually they beg for the sweet release of death.""",„Meistens betteln sie um den erlösenden Tod.“
Matriarch Rosalie,Matriarchin Rosalie
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""","„Männer Veridias, kämpft an meiner Seite, und wir werden diese gefallene Welt von Sünde läutern!“"
Deadeye Domak,Domak das Adlerauge
"""Got another one.""",„Wieder einen erwischt.“
Centhos the Muse,Centhos der Denker
"""Words belie actions... always seek to pierce the veil to one`s true self.""","„Worte leugnen Handlungen … strebt immer danach, Euer wahres Ich zu erkennen.“"
Zeteni the Undying,Zeteni der Unsterbliche
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""","„In der Offensive gewinnt man Schlachten. In der Defensive hingegen Kriege. Unsere Welt ist denen untertan, die dies begreifen.“"
General Bizen,General Bizen
"""I am not impressed by these firearms. Witness the true power of the marksman.""","„Feuerwaffen vermögen mich nicht zu beeindrucken. Seht, was ein wahrer Scharfschütze kann.“"
Cutthroat Klok,Klok der Meuchler
"""Fame is transient. Glory is meaningless. But wealth is joy.""",„Ruhm ist vergänglich. Ehre ist bedeutungslos. Doch Reichtum bringt Freude.“
Lord Carnith,Fürst Carnith
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""","„Ich werde die Zukunft Veridias bewahren, wie es meine Ahnen getan haben … auf welche Weise auch immer.“"
Calvor the Tireless,Calvor der Unermüdliche
"""If we do this right, we wont even need cumbersome armor.""","„Wenn wir die Sache richtig angehen, brauchen wir diese unpraktische Rüstung gar nicht.“"
Philbert,Philbert
Paul,Paul
Terric,Terric
Hough,Hough
Rainer,Rainer
Richard,Richard
Peter,Peter
Gerald,Gerald
Rauf,Rauf
Norman,Norman
Elye,Elye
Hal,Hal
Amaury,Amaury
Humphrey,Humphrey
Milon,Milon
Bert,Bert
Christopher,Christopher
Simon,Simon
Drewett,Drewett
Wyat,Wyat
Armond,Armond
Edmund,Edmund
Ludvig,Ludwig
Robert,Robert
Thomas,Thomas
Hadrian,Hadrian
Batholemew,Batholomäus
Emeric,Emeric
Ingraham,Ingraham
Bernier,Bernier
Balan,Balan
Wiscar,Wiscar
Isaac,Isaac
Powell,Powell
Folc,Folc
Manfred,Manfred
Uriel,Uriel
Herman,Herman
Henry,Henry
Frederick,Frederick
Tybost,Tybost
Percival,Parzival
Owen,Owen
Wymond,Wymond
Joffridus,Joffridus
Robertus,Robertus
Brom,Brom
Elliot,Elliot
Atkin,Atkin
Digory,Digory
Alfred,Alfred
Barrett,Barrett
Jasper,Jasper
Gavin,Gavin
Mercer,Mercer
Beringer,Beringer
Gunther,Günther
Tobias,Tobias
Athel,Athel
Dennis,Dennis
Mark,Mark
Shaner,Shaner
Jacobin,Jacobin
Percy,Percy
Franklin,Franklin
Sham,Sham
Naser,Naser
Farzin,Farzin
Sina,Sina
Kamram,Kamram
Sadeq,Sadeq
Bahrad,Bahrad
Reza,Reza
Nader,Nader
Arman,Arman
Karim,Karim
Abbas,Abbas
Milad,Milad
Darmok,Darmok
Parsa,Parsa
Burkhart,Burkhart
Otto,Otto
Walter,Walter
Manuel,Manuel
Jorg,Jorg
Tilmann,Tilmann
Tristan,Tristan
Markus,Markus
Hugo,Hugo
Antonin,Antonin
Nico,Nico
Andre,André
Ernst,Ernst
Cristof,Cristof
Andreas,Andreas
Ferdinand,Ferdinand
Julius,Julius
Reinhardt,Reinhardt
Jillad,Jillad
Raphael,Raphael
Justin,Justin
Jon,Jon
Matthew,Matthew
Brent,Brent
Timothy,Timothy
Ryan,Ryan
Jacob,Jacob
Nicholas,Nicholas
Ethron,Ethron
William,William
Antonio,Antonio
Gregory,Gregory
Joel,Joel
Noel,Noel
Anthony,Anthony
MacLaine,MacLaine
Chad,Chad
Brad,Brad
Lambert,Lambert
Andrew,Andrew
Salem,Salem
Zephyr,Zephyr
Ozmon,Ozmon
Kushluk,Kushluk
Dylan,Dylan
Ephraim,Ephraim
Johannes,Johannes
Benny,Benny
Hela,Hela
Evette,Evette
Linvy,Linvy
Ariana,Ariana
Sara,Sara
Kaylein,Kaylein
Emma,Emma
Magdalen,Magdalen
Bethany,Bethany
Sabine,Sabine
Victoria,Victoria
Jessimond,Jessimond
Cristina,Christina
Isolde,Isolde
Tilda,Tilda
Lina,Lina
Oriel,Oriel
Ezabell,Ezabell
Gabriela,Gabriela
Gwen,Gwen
Beatrice,Beatrice
Linette,Linette
Muriel,Muriel
Nancy,Nancy
Alison,Alison
Godiva,Godiva
Marione,Marione
Adelena,Adelena
Jacqueline,Jacqueline
Sarra,Sarra
Tabitha,Tabitha
Freya,Freya
Natalie,Natalie
Anna,Anna
Stefanie,Stefanie
Rita,Rita
Teresa,Teresa
Janina,Janina
Marion,Marion
Cornelia,Cornelia
Anke,Anke
Rikke,Rikke
Caroline,Caroline
Yasmin,Yasmin
Dorothea,Dorothea
Madleen,Madleen
Helena,Helena
Wilhelmina,Wilhelmina
Millie,Millie
Karin,Karin
Lisette,Lisette
Vera,Vera
Miriam,Miriam
Katrine,Katrine
Sigrid,Sigrid
Oriana,Oriana
Linnea,Linnea
Heidi,Heidi
Signy,Signy
Sofia,Sofia
Vedia,Vedia
Theodora,Theodora
Sima,Sima
Ozra,Ozra
Mahya,Mahya
Dorsa,Dorsa
Leylani,Leylani
Pardis,Pardis
Sofala,Sofala
Nassim,Nassim
Fakhri,Fakhri
Marzieh,Marzieh
Roya,Roya
Halimeh,Halimeh
Khatoun,Khatoun
Erika,Erika
Katherine,Katherine
Crystal,Crystal
Somayeh,Somayeh
Amelia,Amelia
Ekkon,Ekkon
Kuthex,Kuthex
Izeth,Izeth
Thozilg,Thozilg
Olkoz,Olkoz
Chuzzax,Chuzzax
Tesath,Tesath
Druzgix,Druzgix
Gurgogg,Gurgogg
Ushtoz,Ushtoz
Orzi,Orzi
Nelkai,Nelkai
Oskaz,Oskaz
Algozu,Algozu
Strigoz,Strigoz
Moda,Moda
Gedrir,Gedrir
Naddrus,Naddrus
Qezud,Qezud
Kirgonath,Kirgonath
Qathog,Qathog
Gorvu,Gorvu
Torrax,Torrax
Burith,Burith
Narlox,Narlox
Durgath,Durgath
Myrga,Myrga
Gothai,Gothai
Ruzog,Ruzog
Aldroc,Aldroc
Irdiru,Irdiru
Xyzzyx,Xyzzyx
Vogniax,Vogniax
Sinagg,Sinagg
Katko,Katko
Kristax,Kristax
Etrae,Etrae
Kheshnax,Kheshnax
Ilkuta,Ilkuta
Trollian,Trollian
Clyde,Clyde
Oten,Oten
Kabura,Kabura
Dmitry,Dmitry
Manilyn,Manilyn
Nossfe,Nossfe
Ashim,Ashim
Guy Verre Kanon,Guy Verre Kanon
"Granis, The Lightbringer",Granis der Lichtbringer
"""Donar, send me your greatest foes.""","„Donar, schicke mir deine ärgsten Feinde.“"
"""From destitution findeth restitution.""",„In der Not finden wir Erlösung.“
Sato the Cautious,Sato der Vorsichtige
"""One must save themselves before they can save others.""","„Man muss sich selbst retten, bevor man andere retten kann.“"
Calden Blackwall,Calden Blackwall
"""History is written by the army with the best artillery.""",„Die Geschichte wird von der Armee mit der besten Artillerie geschrieben.“
Aggarak the Returned,Aggarak der Zurückgekehrte
"""Break their will to live.""",„Brich ihren Willen zu leben.“
Volkan the Grave,Volkan der Gewichtige
"""The things you've tried to bury won't remain that way!""","„Was Ihr begraben wolltet, wird nicht so bleiben!“"
Bulwark Bartolo,Bulwark Bartolo
"""The people of the Midlands have suffered too much.""",„Die Menschen in den Mittellanden haben genug gelitten.“
Volkan the Grave,Volkan der Gewichtige
"""What you have tried to bury will not stay buried!""","„Was Ihr begraben wolltet, verweilt nicht unter der Erde!“"
