New Game,Nouvelle partie
Load QuickSave,Charger la sauvegarde rapide
Load Game,Charger une partie
Options,Options
Join Discord,Rejoindre Discord
Shutdown,Quitter
Deploy,Déployer
Organize Army,Organiser l'armée
Tech Tree,Arbre technologique
Marketplace,Place du marché
Tutorials and Info,Tutoriels et informations
Supports,Alliés
Arena,Arène
Arena/Extras,Arène/Extras
System,Système
Bronze Arena,Arène de bronze
Silver Arena,Arène d'argent
Gold Arena,Arène d'or
Platinum Arena,Arène de platine
Save Game,Sauvegarder
Reload,Recharger
To Title,Écran titre
Main Volume,Volume principal
Music Volume,Volume de la musique
SFX Volume,Volume des effets
Voice Volume,Volume des voix
Tutorials,Tutoriels
Instant Text,Texte instantané
Mouse,Souris
Tactical Grid,Grille tactique
Permadeath,Mort permanente
Animation Speed,Vitesse d'animation
Show Combats,Afficher les combats
Screen Size,Taille de l'écran
Restore Defaults,Restaurer les valeurs par défaut
Return to Game,Retour au jeu
Exit Game/Return to Title,Quitter le jeu/Retour à l’écran titre
Yes,Oui
No,Non
Exit Game,Quitter le jeu
Cancel,Annuler
Squad Operations,Formation de l'escouade
Disband Squad,Dissoudre l'escouade
Form New Squad,Former une nouvelle escouade
Reorder Squads,Réorganiser les escouades
Unit Status,Statut de l'unité
Use Item,Utiliser l'objet
Change Class,Changer de classe
Dismiss Unit,Renvoyer l'unité
Exit,Quitter
Recruit,Recruter
Trader,Marchand
Sell Items,Vendre des objets
Exchange,Échanger
Relationships,Relations
Conversations,Conversations
Archives,Archives
Begin Mission,Commencer la mission
Mission Info,Informations sur la mission
Organize,Organiser
Retreat,Retraite
Squad Status,Statut de l'escouade
Remove Squad,Supprimer l'escouade
Replace Squad,Remplacer l'escouade
Edit Squad,Modifier l'escouade
Wait,Attendre
Treasure,Trésor
Status,Statut
End Turn,Mettre fin au tour
Squad List,Liste de l'escouade
Hover Paths Disabled,Chemins de survol désactivés
Powers,Pouvoirs
Tutorial,Tutoriel
Showing: Hover Only,Montrer : Survoler uniquement
Language,Langue
Move Unit,Déplacer l'unité
Add Unit,Ajouter l'unité
Remove Unit,Retirer l'unité
Artifacts,Artefacts
Clear Squad,Vider l'escouade
Continue Main Story,Continuer l'histoire principale
Gaiden Chapter A: Unrelenting Ambition,Chapitre A de Gaiden : Une ambition implacable
Gaiden Chapter B: Dragon's Haven,Chapitre B de Gaiden : Le refuge du dragon
Gaiden Chapter C: No Mercy for the Merciful,Chapitre C de Gaiden : Pas de pitié pour les miséricordieux
Gaiden Chapter D: Clockwork City,Chapitre D de Gaiden : La Cité des Horloges
Gaiden Chapter E: Ishtar's Lament,Chapitre E de Gaiden : La complainte d'Ishtar
QuickSave,Sauvegarde rapide
QuickLoad,Chargement rapide
Load,Chargement
Redo Turn,Recommencer le tour
Restart,Redémarrer
Exit Game/Title,Quitter le jeu/Titre
Meteor,Météore
Teleport,Téléportation
Exemplar,Exemplaire
Terror,Terreur
Blessing,Bénédiction
Showing: Enemy Move,Montrer : Déplacement de l'ennemi
Showing: Ambush Tiles,Montrer : Cases d'embuscade
Showing: Charge Tiles,Montrer : Cases de charge
Attack,Attaque
\M[tactic_normal.png]Normal Attack,\M[tactic_normal.png]Attaque normale
\M[tactic_forcesurrender.png]Force Surrender,\M[tactic_forcesurrender.png]Forcer la reddition
\M[tactic_leader.png]Target Leader,\M[tactic_leader.png]Viser le meneur
\M[tactic_aggressive.png]Aggressive,\M[tactique_agressive.png]Agressif
\M[tactic_cautious.png]Cautious,\M[tactic_cautious.png]Prudence
Heal,Guérir
Heal/Revive,Guérir/Ressusciter
Revive,Ressusciter
Start Game,Démarrer le jeu
Shop,Boutique
Refresh Heals,Restaurer les soins
Move,Dépl.
Seize,Capturer
Activate,Activer
Shuffle,Échanger
Tactics,Tactiques
Depart,Départ
Armory,Armurerie
Demote,Rétrograder
Promote,Promouvoir
Formation,Formation
All,Tous
Rename,Renommer
Title Screen,Écran titre
Bronze,Bronze
Silver,Argent
Gold,Or
Platinum,Platine
Requires:,Nécessite :
Rename Scroll,Parchemin de renommage
Resources Used:,Ressources utilisées :
Form Squad,Former l'escouade
Enable Tutorials,Activer les tutoriels
"Enable ""Permadeath""",Activer la mort permanente
Skip All,Passer tout
Return to Base,Retourner à la base
Restart Mission,Recommencer la mission
Load Save,Charger la sauvegarde
Return to Title,Retourner à l'écran titre
Save/Load,Sauvegarder/Charger
Select Squads,Sélectionner les escouades
Dismiss,Renvoyer
Skip Chapter,Passer le chapitre
Classic Portraits,Portraits classiques
High-Res Font,Police de caractères haute résolution
Map Sprite,Sprite de la carte
Legends Chapters,Chapitres des Légendes
