New Game,Novo jogo
Load QuickSave,Carregar salv. rápido
Load Game,Carregar jogo
Options,Opções
Join Discord,Entrar no Discord
Shutdown,Sair
Deploy,Desdobrar
Organize Army,Organizar exército
Tech Tree,Árvore de tecnologias
Marketplace,Mercado
Tutorials and Info,Tutoriais e informações
Supports,Apoios
Arena,Arena
Arena/Extras,Arena/Extras
System,Sistema
Bronze Arena,Arena de bronze
Silver Arena,Arena de prata
Gold Arena,Arena de ouro
Platinum Arena,Arena de platina
Save Game,Salvar jogo
Reload,Recarregar
To Title,Tela inicial
Main Volume,Volume principal
Music Volume,Volume da música
SFX Volume,Volume dos efeitos
Voice Volume,Volume das vozes
Tutorials,Tutoriais
Instant Text,Texto instantâneo
Mouse,Mouse
Tactical Grid,Grade tática
Permadeath,Morte permanente
Animation Speed,Velocidade das animações
Show Combats,Mostrar combates
Screen Size,Tamanho da tela
Restore Defaults,Restaurar padrões
Return to Game,Voltar ao jogo
Exit Game/Return to Title,Sair do jogo/Voltar ao início
Yes,Sim
No,Não
Exit Game,Sair do jogo
Cancel,Cancelar
Squad Operations,Operações do esquadrão
Disband Squad,Dispersar esquadrão
Form New Squad,Formar novo esquadrão
Reorder Squads,Reordenar esquadrões
Unit Status,Estado da unidade
Use Item,Usar item
Change Class,Mudar classe
Dismiss Unit,Dispensar unidade
Exit,Sair
Recruit,Recrutar
Trader,Comerciante
Sell Items,Vender itens
Exchange,Trocar
Relationships,Relacionamentos
Conversations,Conversas
Archives,Arquivos
Begin Mission,Iniciar missão
Mission Info,Sobre a missão
Organize,Organizar
Retreat,Recuar
Squad Status,Estado do esquadrão
Remove Squad,Remover esquadrão
Replace Squad,Substituir esquadrão
Edit Squad,Editar esquadrão
Wait,Aguardar
Treasure,Tesouro
Status,Estado
End Turn,Acabar turno
Squad List,Lista de esquadrões
Hover Paths Disabled,Sobrepor caminho desat.
Powers,Poderes
Tutorial,Tutorial
Showing: Hover Only,Cursor sobreposto
Language,Idioma
Move Unit,Mover unidade
Add Unit,Adicionar unidade
Remove Unit,Remover unidade
Artifacts,Artefatos
Clear Squad,Apagar esquadrão
Continue Main Story,Continuar história principal
Gaiden Chapter A: Unrelenting Ambition,Capítulo Gaiden A: Ambição Implacável
Gaiden Chapter B: Dragon's Haven,Capítulo Gaiden B: Refúgio do Dragão
Gaiden Chapter C: No Mercy for the Merciful,Capítulo Gaiden C: Sem Misericórdia aos Misericordiosos
Gaiden Chapter D: Clockwork City,Capítulo Gaiden D: Cidade Mecânica
Gaiden Chapter E: Ishtar's Lament,Capítulo Gaiden E: Lamento de Ishtar
QuickSave,Salvamento rápido
QuickLoad,Carregamento rápido
Load,Carregar
Redo Turn,Refazer turno
Restart,Reiniciar
Exit Game/Title,Sair do jogo/tela inicial
Meteor,Meteoro
Teleport,Teleporte
Exemplar,Exemplar
Terror,Terror
Blessing,Bênção
Showing: Enemy Move,Movimento inimigo
Showing: Ambush Tiles,Quadrados de emboscada
Showing: Charge Tiles,Quadrados de carga
Attack,Atacar
\M[tactic_normal.png]Normal Attack,\M[tactic_normal.png]Ataque normal
\M[tactic_forcesurrender.png]Force Surrender,\M[tactic_forcesurrender.png]Forçar rendição
\M[tactic_leader.png]Target Leader,\M[tactic_leader.png]Líder-alvo
\M[tactic_aggressive.png]Aggressive,\M[tactic_aggressive.png]Agressivo
\M[tactic_cautious.png]Cautious,\M[tactic_cautious.png]Cauteloso
Heal,Curar
Heal/Revive,Curar/reviver
Revive,Reviver
Start Game,Iniciar jogo
Shop,Loja
Refresh Heals,Renovar curas
Move,Mover
Seize,Tomar
Activate,Ativar
Shuffle,Embaralhar
Tactics,Tática
Depart,Partir
Armory,Arsenal
Demote,Demover
Promote,Promover
Formation,Formação
All,Tudo
Rename,Renomear
Title Screen,Tela inicial
Bronze,Bronze
Silver,Prata
Gold,Ouro
Platinum,Platina
Requires:,Requer:
Rename Scroll,Renomear papiro
Resources Used:,Recursos usados:
Form Squad,Formar esquadrão
Enable Tutorials,Ativar tutoriais
"Enable ""Permadeath""","Ativar “morte permanente”"
Skip All,Pular tudo
Return to Base,Retornar à base
Restart Mission,Reiniciar missão
Load Save,Carregar salvamento
Return to Title,Retornar à tela inicial
Save/Load,Salvar/carregar
Select Squads,Selecionar esquadrões
Dismiss,Dispensar
Skip Chapter,Pular capítulo
Classic Portraits,Retratos clássicos
High-Res Font,Fonte em alta resolução
Map Sprite,Sprite do mapa
Legends Chapters,Capítulo das lendas
