ENGLISH,Russian
"Damn you, Antares. All these men had to die just to fulfill your delusions. Good men... wasted.","Проклятье, Антарес. Столько людей погибло из-за твоих бредней. Столько жизней потрачено... впустую."
Empress Florina... Hang tight! It's almost over!,Императрица Флорина... Держитесь! Скоро всё будет кончено!
Florina...\| I have failed.,Флорина...\| Я подвёл тебя.
General... just let it end now...\| Turn yourself in to these people... There's no more reason to fight...,Генерал... не нужно...\| Просто сдайтесь этим людям... Сопротивляться больше нет смысла...
"I will die this day, Imperials. But I will live on in the hearts of those who have been betrayed, who walk this life a stranger in their own lands.","Сегодня я погибну, имперцы. Но я буду жить в сердцах тех, кого вы предали, кто стал чужаком на собственной земле."
"You, Imperials, have forgotten us. Those who bled for you, and those who now toil for you. But the people are beginning to see!\! And when you have finally pushed too hard, and plunged my homeland into chaos, those who survive will remember you as traitors.","Вы забыли о нас, имперцы. Забыли о тех, кто ради вас проливал свою кровь и теперь трудится за вас в поте лица. Но народ уже начал прозревать!\! И теперь, когда вы устроили бойню и погрузили мою страну в хаос, выжившие навсегда запомнят вас предателями."
What are you doing?!\! .....NO!!!!,Что ты делаешь?!\! .....НЕТ!!!!
"Holy Donar, take me...","Святой Донар, отдаю себя в твои руки..."
All this... for what...,И всё это... чего ради...
He admitted defeat and died with honor. It is the only way an old warrior like him could go.,Он признал поражение и ушёл с честью. Как и подобало воину старой закалки.
"No, this is different. There is a chill in my bones.","Нет, что-то тут не так. У меня от этого всего мороз по коже."
All this sentiment over a relic of the past? It escapes me...,Это всё из-за какого-то наследия прошлого? Я не понимаю...
Zelos...\| What's going on...,Зелос...\| Что происходит...
"Stay calm, \n[8]...","Спокойно, \n[8]..."
"\n[8], Zelos. I must congratulate you on your victory. Your key role in dispatching of the rebel Antares is noted, and for that you have earned our gratitude.","\n[8], Зелос. Поздравляю вас с победой. Вы сыграли ключевую роль в избавлении от мятежного Антареса и за это заслужили нашу благодарность."
"That gratitude will serve you well in what's coming for you. On the behalf of the Empire of Veridia, you are hereby guilty of high treason and conspiracy to murder the Empress.\! Yes, we've heard of your plans for treachery, \n[8], and so too will all the world.","Благодарность сия придётся очень кстати ввиду того, что ждёт вас дальше. От имени Веридийской Империи вы признаётесь виновными в государственной измене и заговоре с целью убийства Императрицы.\! Да, нам известно о ваших вероломных планов.\n[8] И скоро о них узнает весь мир."
That's not at all what...,Мы совершенно не...
...Is this some kind of joke?!,"...Вы, наверное, шутите?!"
"Troops, you may fire when ready. Numbing poison, they are to be kept alive.","Бойцы, огонь по готовности. Парализующим ядом. Они мне нужны живыми."
"AAUUGGHH!! \n[8]!! What have you traitors done?! Face me, you cowards! Come to meet your deaths!","А-А-А-АГХ!! \n[8]!! Что вы делаете, предатели?! Идите сюда, трусы! Раз уж вам жить надоело!"
"Imbeciles... we discussed this! Don't cross blades with that one - shoot him, now!!","Придурки... я же предупреждал вас! Не пытайтесь одолеть его в бою, стреляйте и всё!!!"
Ugghhh....\|\| Is that all you've got?!,"А-агх....\|\| И это всё, на что вы способны?!"
Casamir...\| W-What's going on?,Казамир...\| Ч-что происходит?
"My Empress... it is a relief we were able to uncover \n[8]'s plot. Rest assured, the traitors will be dealt with. ...Is something else the matter?","Моя Императрица... вы и не знали, что \n[8] готовит против вас заговор. К счастью, мы его раскрыли и мерзавцев ждёт наказание. ...Вас ещё что-то беспокоит?"
"...but, why would...",...но с чего бы...
"It shocked me as well. But a head of state naturally has many enemies, it is the way of politics in this age.\! Now then, let us return to the capital and put all this nonsense behind us, hmm? After you.","Я сам был просто поражён. Но у главы государства неизменно появляются враги, так уж устроена политика в наше время.\! Ну а теперь нам пора возвратиться в столицу и оставить весь этот ужас позади, м-м? Прошу."
A-Alright....,Ну л-ладно...
"Florina, assigned as a child the privilege to sit on the Imperial throne...\| because of a blood relation that barely qualifies as legitimate.\! The high seat above all the world. Does someone like you even appreciate the power that it emanates?\! Some day, this land will have a leader that gives it the reverence it deserves...\! As you breathe your dying breaths, take solace in knowing I will take great care of all the people of this land.","Флорина, от рождения удостоенная привилегии занять престол Империи...\| а всё из-за кровного родства, которое толком и не доказано.\! Быть выше всего мира. Ты даже неспособна оценить власть, которую даёт подобный титул.\! Скоро у этой земли появится правитель, который будет уважать страну так, как она того заслуживает...\! Ну а сейчас, в твои последние мгновения, пусть тебя утешит мысль, что я сумею достойно позаботиться о жителях этих земель."
