ENGLISH,RUSSIAN
Iron Mine,Железная шахта
Gold Mine,Золотая шахта
Gems Mine,Шахта самоцветов
Sunstone Mine,Шахта янтаря
Obsidian Mine,Обсидиановая шахта
Fort,Форт
Stables,Конюшни
Donari Temple,Храм Донари
Kallenberg,Калленберг
Edennes,Эденс
Grodaal,Гродал
Eastwall,Иствол
Marrenburg Castle,Замок Маренбург
Maubonne,Маубон
Marche,Марч
Centurion's Rest Compound,Лагерь возле Убежища Центуриона
Enmar,Энмар
Lothingen,Лотинген
Centurion's Rest,Убежище Центуриона
Granheim Abbey,Аббатство Гренхейм
Granheim Temple,Храм Гренхейм
Lycia,Лиция
Fort Naxos,Форт Наксос
Hartbridge,Хартбридж
Conlingen,Конлинген
Donari Flagship,Флагман Донари
Donari Ship,Корабль Донари
Tidereaver Ship,Корабль Тайдривера
Tidereaver Flagship,Флагман Тайдривера
Lemelin Monastery,Монастырь Лемелин
Greyden Slave Complex,Рабовладельческий комплекс Грейден
Moorsen,Мурсен
Auberlund,Ауберлунд
Port Herald,Порт Геральд
Westerfield Fortress,Крепость Вестерфилд
Lemelin Fortress,Крепость Лемелин
Isanter Palace,Дворец Изантер
Kusloda,Куслода
Teutoberg,Тевтоберг
Trucea,Труция
Innsbruck,Инсбрук
Osterbach,Остербах
Fort Findorian,Форт Финдориан
Balcross,Балкрос
Fort Eureeka,Форт Эврика
Miletos,Милетос
Casamir's Base,База Казамира
Rimorgue,Риморг
Melmonde,Мелмонд
Kalletos,Каллетос
Mytimia,Матимия
Lucia,Люция
Stormrook,Штормрук
Westerfield,Вестерфилд
Imperial Sally Port,Имперские вылазные ворота
Tilrode,Тилрод
Signy,Сигни
Rittenbach,Риттенбах
Tresilian,Трезилиан
Embor,Эмбор
Eastwall Front Base,Передовая база Иствол
Eastwall Fortress,Крепость Иствол
Gorinheim,Горинхейм
New Grodaal,Новый Гродал
"Felnamia Front Base,",Передовая база Фелнамия
"Nikeda,","Никеда,"
Midglen,Мидглен
Kritea,Критеа
Blackstone,Блэкстоун
Sandraka Front Base,Передовая база Сандрака
Macbay,Макбэй
Crestmoor,Крестмур
Greywind Shrine,Святилище Грейвинд
Greywind Lake,Озеро Грейвинд
Ezrum,Эзрум
Fort Dakur,Форт Дакур
Qurmad,Курмад
Reza,Реза
Dashun,Дашун
Sayunaa Palace,Дворец Саюна
Nephilim Army Base,База армии нефилимов
Armitage,Армитаж
Red Base,Красная база
Blue Base,Синяя база
Fort Sairaa,Форт Саира
Sidaah,Сидах
Dragon Egg,Драконье яйцо
Port Jenos,Порт Дженос
Pyrocite Mine,Пироцитовая шахта
Bazaar,Базар
Vinveil,Винвейл
Neubonne,Нюбон
Diana Front Base,Передовая база Дианы
Eberminster,Эберминстер
Nikeda,Никеда
Nikeda Redoubt,Цитадель Никеда
Herstadt,Герштадт
Felnamia,Фелнамия
Veringian,Верингиан
Fitch Family Farm,Семейная ферма Фитчей
Trapped Sayunaari,Саюнари в ловушке
Embor Palace,Дворец Эмбор
Helios Master Archive,Центральный архив «Гелиос»
Prison escape,Побег из тюрьмы
Jidah,Джида
